ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensityEdge_PI,Intensity_IntegratedIntensity_DAPI,Intensity_IntegratedIntensity_PI,Intensity_LowerQuartileIntensity_DAPI,Intensity_LowerQuartileIntensity_PI,Intensity_MADIntensity_DAPI,Intensity_MADIntensity_PI,Intensity_MassDisplacement_DAPI,Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
1,30,4.282429246,3.071107052,37.74218367,14.6728924,0.051720453,0.028351262,0.023620963,0.001052871,0.350143967,0.15190768,0.054886702,0.033844512,0.124010071,0.033844512,0.040400276,0.028972708,0.075787517,0.029463639,0.078248262,0.029556725,0.03106737,0.025436789,0.03106737,0.025436789,0.005682405,0.001828775,0.026071474,0.001541362,0.09920653,0.030449378,30
1,31,4.666544616,3.992095839,47.73202116,20.07893499,0.054615855,0.034134433,0.026192108,0.001464866,0.672673276,0.227348432,0.058808271,0.039871823,0.161348894,0.04179446,0.040228833,0.034414619,0.083887559,0.035288111,0.085587852,0.035690852,0.03138781,0.028778516,0.03138781,0.027283132,0.005964547,0.002772922,0.033201321,0.002640978,0.105596248,0.037109941,31
1,32,4.34084079,4.052170625,69.19119556,25.98780814,0.0423476,0.032368202,0.042450603,0.001480125,1.009110409,0.225118685,0.045273516,0.036499582,0.205111772,0.03918517,0.033912819,0.031657583,0.089975547,0.033794289,0.081429768,0.033783473,0.028809033,0.026001373,0.028809033,0.026001373,0.00313558,0.001844549,0.048627355,0.002102288,0.131189436,0.035378043,32
1,33,3.756755941,2.142931271,18.16211186,7.097169481,0.051262683,0.031914245,0.028778512,0.001136797,0.389757249,0.19555584,0.139406428,0.037216753,0.15667963,0.037659265,0.056920545,0.032468656,0.083696368,0.03270585,0.085740447,0.033020522,0.031052109,0.026703289,0.031052109,0.026703289,0.029010344,0.002896348,0.032875063,0.002231985,0.110719463,0.03417258,33
1,34,3.669474352,3.342427723,38.0003205,17.98359664,0.047203783,0.032745861,0.019851986,0.001174945,0.226635905,0.125893411,0.052704662,0.038483255,0.136888683,0.039719235,0.036694744,0.033424277,0.071698718,0.033931314,0.075272754,0.033829253,0.028763257,0.029129473,0.028763257,0.029037919,0.004789071,0.001950886,0.025474137,0.001767982,0.090844586,0.035065234,34
1,35,3.313374542,2.89086747,36.48043033,14.87518123,0.044327458,0.031792171,0.032135502,0.001037616,0.268786539,0.101713066,0.055802245,0.035568781,0.164995804,0.036987871,0.036815273,0.03212075,0.080353371,0.032764716,0.080216676,0.032776378,0.029739834,0.027908752,0.029739834,0.027878232,0.005612032,0.001580403,0.035469842,0.001616629,0.107530326,0.03387503,35
1,36,3.885618374,2.556908533,19.89829861,9.403128104,0.054627299,0.033035781,0.030533306,0.002639811,0.393366257,1.041631303,0.122148469,0.061631188,0.142626077,0.076035708,0.057141447,0.037601596,0.085768528,0.040530725,0.087174796,0.035049975,0.033371482,0.029877165,0.033371482,0.029877165,0.02733963,0.007669039,0.032442343,0.011734416,0.115541317,0.043930724,36
1,37,4.781551853,4.00766005,68.7679561,24.39685671,0.059391928,0.032822154,0.028290227,0.001007095,0.033330274,0.117070784,0.056656748,0.037323568,0.165804535,0.038620584,0.039846265,0.033397167,0.09537858,0.033837527,0.10233463,0.033737697,0.030731671,0.030212864,0.030731671,0.029831387,0.005390914,0.001641729,0.037079867,0.001538638,0.125379562,0.034802016,37
1,38,4.268635087,3.373525605,39.39626153,17.10737779,0.054703593,0.032478828,0.020172432,0.001159687,0.249334424,0.130163537,0.059266042,0.03700313,0.125185013,0.039032578,0.041044568,0.032437746,0.077247572,0.033543878,0.081177995,0.033646144,0.031570915,0.027023727,0.031570915,0.027023727,0.00622162,0.002180617,0.025180586,0.00187406,0.0990692,0.034782941,38
1,39,3.840192284,3.186343174,38.16376001,15.98460367,0.053620204,0.033142596,0.028061338,0.001571678,0.5769336,0.164782292,0.054108493,0.038254369,0.16908522,0.039673459,0.040002003,0.033191075,0.082964696,0.034749138,0.07896544,0.03476005,0.030350195,0.030640116,0.030350195,0.030640116,0.005285428,0.001778721,0.035278065,0.002027268,0.108369574,0.036224917,39
